Yes,Sim
No,Não
"Is Sandbox Mode","Modo teste"
"Ship to Applicable Countries","Países com cobertura"
"Ship to Specific Countries","Enviar para países específicos"
"All Allowed Countries","Todos os países"
"Specific Countries","Países específicos"
"Method Name","Nome do método"
"Enable Log","Habilitar log"
"Products Attributes","Atributos de Produto"
"Unit of measurement","Unidade de medida"
"Meter","Metro"
"Centimeter","Centímetro"
"Weight Unit","Unidade de peso"
"Kilo","Quilo"
"Gram","Grama"
"Height Attribute","Atributo de altura"
"Width Attribute","Atributo de largura"
"Length Attribute","Atributo de comprimento"
"Height Default","Altura padrão"
"Width Default","Largura padrão"
"Length Default","Comprimento padrão"
"Weight Default","Peso padrão"
"Quote Shipping","Cotação"
"Shipping Discount","Valor do desconto"
"Shipping Tax","Valor adicional"
"Additional Delivery Days","Prazo extra"
"Quantity of Days","Número de dias a ser somado com o prazo de entrega"
"From Settings","Dados de Origem"
"Name","Nome"
"Telephone","Telefone"
"Document","CPF"
"Company Document","CNPJ"
"State Register","IE"
"Street","Rua"
"Number","Número"
"District","Bairro"
"Complement","Complemento"
"City","Cidade"
"Country","País"
"Postcode","CEP"
"Note","Observação"
"Number Only","Apenas números"
"Number Only - 47999999999","Apenas números - 47999999999"
"State","Estado"
"Agency Settings","Definir Agências"
"Agency Default","Agência padrão"
"Save Quote","Salvar Frete"
"Save and Continue Edit","Salvar e Continuar Editando"
"Back","Voltar"
"This Quote no longer exists.","Esse Frete não existe"
"You saved the Quote.","Frete Salvo"
"Something went wrong while saving the Quote.","Algo de errado aconteceu ao salvar o Frete"
"The given data was invalid.","Os dados do Frete são inválidos"
"Fail in remove to cart","Falha ao remover do Carrinho"
